Academy Ribbon Set,Blouse,Rare,เสื้อเชิ้ตนักเรียนทรงเข้ารูป มาพร้อมริบบิ้นผ้าซาตินเกรดพรีเมียม
Charcoal Asymmetric,Blouse,Rare,เสื้อสีถ่านดีไซน์ชายไม่เท่ากัน คัตติ้งเนี้ยบสไตล์มินิมอล
Dusty Rose Draped Top,Blouse,Rare,เสื้อผ้าชีฟองสีชมพูตุ่น จับจีบช่วงอกสวยงาม ดูหรูหรา
High-Collar Cyber Suit,Blouse,Rare,เสื้อคอปกตั้งทรงล้ำสมัย ตัดเย็บด้วยผ้าสังเคราะห์ผิวมันเงา
High-End Satin,Blouse,Rare,เสื้อซาตินเนื้อหนา ผิวสัมผัสนุ่มลื่นและเงางามแบบผ้าไหมแท้
Polka-Dot Pussy,Blouse,Common,เสื้อลายจุดผูกโบว์ที่คอ ผ้าโพลีเอสเตอร์ ดูแลรักษาง่าย
Pop-Star Lace Bustier,Blouse,Legendary,คอร์เซ็ทลูกไม้ฝรั่งเศสปักคริสตัล งานแฮนด์เมดระดับกูตูร์
Slate Mock-Neck Rib,Blouse,Common,เสื้อคอปีนผ้าร่องสีเทาเข้ม ยืดหยุ่นดี ใส่เป็นเสื้อตัวในได้
Tech-Mesh Layered Top,Blouse,Vintage,เสื้อตาข่ายซ้อนทับเสื้อกล้าม สไตล์สปอร์ตแฟชั่นทั่วไป
Victorian Poet Blouse,Blouse,Rare,เสื้อแขนพองสไตล์วิกตอเรียน ผ้าฝ้ายเก่าเก็บสภาพสมบูรณ์
Dolphin Summer,Camisole,Common,สายเดี่ยวสกรีนลายกราฟิกสดใส ผ้าคอตตอนผสม ใส่สบาย
Holographic Halter,Camisole,Rare,เสื้อคล้องคอทำจากวัสดุสะท้อนแสง เล่นสีเมื่อโดนแฟลช
Sequin Disco Halter Top,Camisole,Legendary,สายเดี่ยวปักเลื่อมหนาแน่นทั้งตัว งานวินเทจยุค 70s ของแท้หายาก
Silken Serenity,Camisole,Common,ตัดเย็บจากไหมมัลเบอร์รี่ 100% ให้สัมผัสเย็นสบายและหรูหราที่สุด
Midnight Floral,Camisole,Common,สายเดี่ยวพิมพ์ลายดอกไม้โทนสีมืด ผ้าเรยอนทิ้งตัว
Lace Whispers,Camisole,Uncommon,เสื้อสายเดี่ยวแต่งขอบลูกไม้เล็กน้อย ดีไซน์มาตรฐาน
Pearl Glow,Camisole,Uncommon,ผ้าซาตินสีมุกเหลือบเงา เนื้อผ้าดีกว่ารุ่นปกติเล็กน้อย
Velvet Moon,Camisole,Rare,สายเดี่ยวผ้ากำมะหยี่สั้น สัมผัสนุ่ม เหมาะกับงานกลางคืน
Crystal Weave,Camisole,Rare,ผ้าทอผสมดิ้นเงินระยิบระยับ โครงสร้างผ้าแข็งแรงไม่ย้วยง่าย
Astral Embroidered,Camisole,Vintage,งานปักลายดวงดาวด้วยด้ายเมทัลลิก ฝีเข็มละเอียดประณีต
Sunburst Crochet,Camisole,Vintage,เสื้อถักโครเชต์ลายวงกลม งานฝีมือยุคเก่าที่มีเอกลักษณ์
Cosmic Dust,Camisole,Legendary,เสื้อลายจุดสีเฟดจางตามกาลเวลา ให้ลุคเซอร์แบบธรรมชาติ
Enchanted Forest,Camisole,Legendary,งานดีไซน์ระดับรันเวย์ แต่งดีเทลใบไม้ผ้าอัดพลีทซ้อนชั้นอย่างวิจิตร
Forest Ivy,Cardigan,Common,คาร์ดิแกนถักมือลายเถาวัลย์ซับซ้อน ใช้ไหมพรมขนสัตว์เกรดเอ
Fur-Trimmed,Cardigan,Common,คาร์ดิแกนแต่งขอบขนเทียม เพิ่มดีเทลให้ดูมีอะไรมากขึ้น
Fuzzy Neon,Cardigan,Rare,เสื้อไหมพรมขนฟูสีสะท้อนแสง แฟชั่นวัยรุ่นหาซื้อได้ทั่วไป
Soft Knit,Cardigan,Uncommon,ถักจากขนแกะเมอริโนผสมแคชเมียร์ นุ่มพิเศษและไม่ระคายเคือง
Basic Cotton,Cardigan,Common,คาร์ดิแกนผ้าฝ้าย 100% ระบายอากาศดี ทรงสวยมาตรฐาน
Oversized Knit,Cardigan,Common,เสื้อไหมพรมทรงหลวมตัวใหญ่ ใส่คลุมกันหนาวได้ดี
Pastel Button-Up,Cardigan,Uncommon,เสื้อสีพาสเทลพร้อมกระดุมมุกเทียม งานเรียบร้อยน่ารัก
Argyle Pattern,Cardigan,Rare,ลายข้าวหลามตัดทอแน่น งานแบรนด์เนมคลาสสิกสไตล์ผู้ดีอังกฤษ
Heirloom Lace,Cardigan,Vintage,เสื้อคลุมลูกไม้ถักเก่าแก่ ลวดลายวิจิตรบรรจงแบบโบราณ
Mint Pastel,Cardigan,Common,เสื้อสีมิ้นต์ซีดจาง สภาพผ่านการใช้งานแต่ยังคงทรงสวย
Midnight Professor,Coat,Legendary,คาร์ดิแกนสีดำหรือกรมท่า ทรงสุภาพ เหมาะใส่ทำงาน
Outlaw’s Dusty Duster,Coat,Legendary,เสื้อโค้ทหนังแท้ฟอกเซอร์ สไตล์คาวบอยตะวันตก งานสะสมหายาก
Urban Trench,Coat,Common,เทรนช์โค้ทผ้ากันน้ำนวัตกรรมใหม่ คัตติ้งเนี้ยบระดับไฮเอนด์
Denim Duster,Coat,Common,เสื้อคลุมยีนส์ตัวยาว ผ้าหนาปานกลาง ทนทานต่อการใช้งาน
Utility Parka,Coat,Common,พาร์ก้าผ้าแคนวาส กระเป๋าเยอะ เน้นฟังก์ชันการใช้งานจริง
Camo Puffer,Coat,Rare,เสื้อกันหนาวบุนวมลายพราง น้ำหนักเบา ให้ความอบอุ่นปานกลาง
Tartan Heritage,Coat,Vintage,โค้ทลายสก๊อตผ้าขนสัตว์แท้ ตัดเย็บประณีต ลายต่อกันสนิท
Faux Fur Statement,Coat,Vintage,โค้ทขนสัตว์เทียมตัวใหญ่หนานุ่ม สไตล์แกลมร็อคยุค 80s
Alien Layered Slip,Dress,Legendary,เดรซดีไซน์ทดลอง (Avant-garde) รูปทรงแปลกตาจากยุค 90s
Minimalist Slit Turtleneck,Dress,Common,เดรสคอเต่าทรงตรง ผ้าไหมเจอร์ซีย์คุณภาพสูง เรียบหรูดูแพง
Sage Silk Wrap Top,Dress,Rare,เดรสป้ายหน้าสีเขียวอมเทา ผ้าผสมใยสังเคราะห์ ใส่สบาย
White Architectural Top,Dress,Legendary,เดรสสีขาวที่มีแพทเทิร์นโครงสร้างชัดเจน คัตติ้งคมกริบ
Simple Cotton Sun,Dress,Common,เดรสผ้าฝ้ายอียิปต์ทอมือเส้นใยยาวพิเศษ นุ่มนวลระดับมาสเตอร์พีซ
Polka Dot Tea,Dress,Common,เดรสกระโปรงบานลายจุด ผ้าฝ้ายพิมพ์ลายทั่วไป
Velvet Night-Out Mini,Dress,Uncommon,มินิเดรสกำมะหยี่สังเคราะห์ ยืดหยุ่นได้ดี ราคาจับต้องได้
Lavender Satin Slip,Dress,Uncommon,เดรสซาตินสีม่วงอ่อน ตัดเย็บดี ทิ้งตัวสวยกว่าเกรดท้องตลาด
Midnight Lace Cocktail,Dress,Rare,เดรสออกงานแต่งลูกไม้สีดำ ดีไซน์สวยมาตรฐาน
Goddess of Olympus Tunic,Dress,Legendary,ชุดราตรียาวจับจีบระบาย ผ้าชีฟองเนื้อละเอียดพริ้วไหว
Cozy Fleece,Hoodie,Common,ฮู้ดดี้ผ้าฟลีซแคชเมียร์ ให้ความอบอุ่นและความนุ่มนวลขั้นสุด
Branded Tech Windbreaker,Hoodies,Rare,เสื้อกันลมผ้าร่มพิมพ์ลายกราฟิก เหมาะใส่ลำลอง
Glow-Zip Tech,Hoodies,Common,ฮู้ดดี้ผ้าโพลีเอสเตอร์ แต่งซิปสะท้อนแสงเพื่อความปลอดภัย
Kanji Street,Hoodies,Rare,ฮู้ดดี้ผ้าฝ้ายเนื้อหนา ปักลายตัวอักษรญี่ปุ่นขนาดใหญ่ งานละเอียด
Pastel Zip-up,Hoodies,Common,เสื้อฮู้ดสีหวาน ผ้าสำลีขูดขน เนื้อบางเบา
Royal Monogram,Hoodies,Legendary,ฮู้ดดี้พิมพ์ลายโมโนแกรมทั้งตัว ผ้าเกรดพรีเมียมไม่เป็นขุย
Silver Metallic Puffer,Hoodies,Legendary,ฮู้ดดี้บุนวมสีเงินเมทัลลิก ดีไซน์โดดเด่นจากรันเวย์แฟชั่นวีค
Simple Pastel,Hoodies,Common,ฮู้ดดี้สีพาสเทลคอลเลกชันพิเศษ ผ้านุ่มพิเศษและทรงสวยมาก
Velour Tracksuit,Hoodies,Rare,เสื้อฮู้ดผ้ากำมะหยี่คอตตอนแท้ สัมผัสหรูหราและเงางาม
Distressed Military,Jacket,Vintage,แจ๊คเก็ตลายทหารทำเก่ารุ่ยๆ สไตล์กรันจ์
Frontier Denim,Jacket,Common,แจ็คเก็ตยีนส์ผ้าดิบญี่ปุ่น ริมแดง เฟดสวยตามกาลเวลา
Graffiti Denim & Flannel,Jacket,Legendary,แจ็คเก็ตยีนส์เพ้นท์มือ งานคัสตอมชิ้นเดียวในโลกจากยุคก่อน
Scholar's Plaid Blazer,Jacket,Rare,เบลเซอร์ลายสก๊อต ผ้าผสมใยสังเคราะห์ ทรงหลวมเล็กน้อย
Sherpa-Lined Denim,Jacket,Vintage,แจ็คเก็ตยีนส์บุขนแกะแท้ทั้งตัว อุ่นมากและหายาก
Electric Moto,Jacket,Rare,แจ็คเก็ตหนังขี่มอเตอร์ไซค์ การ์ดครบ แต่งแถบสีสดใส
Silk Sukajan Souvenir,Jacket,Legendary,แจ็คเก็ตปักลายมังกร ผ้าไหมซาติน สภาพสะสม
Tapestry Bomber,Jacket,Vintage,บอมเบอร์แจ็คเก็ตตัดเย็บจากผ้าทอพรมลายวินเทจ เนื้อหนา
Varsity Bomber,Jacket,Common,แจ็คเก็ตเบสบอลหนังแท้ผสมผ้าขนสัตว์ ปักอาร์มรุ่นลิมิเต็ด
Distressed Denim,Jacket,Vintage,แจ็คเก็ตยีนส์ผ่านการฟอกและทำขาดมาอย่างหนัก สไตล์เซอร์
Cyberpunk Techwear,Jacket,Rare,แจ็คเก็ตแต่งสายรัดและกระเป๋าหลอก เน้นดีไซน์แฟชั่น
Cyber Classic,Polo,Common,โปโลดีไซน์ยุค 90s สีสันฉูดฉาดแบบเรโทรฟิวเจอร์
Electric Stripe,Polo,Common,โปโลลายทางสีสด ผ้าปิเก้ระบายอากาศได้ดี
Azure Horizon,Polo,Uncommon,โปโลสีฟ้าพื้นเรียบ มาตรฐานยูนิฟอร์มทั่วไป
Digital Fade,Polo,Uncommon,เสื้อพิมพ์ลายไล่สีระบบดิจิทัล สีสดคมชัด
Holographic Collar,Polo,Legendary,เสื้อโปโลแต่งปกด้วยวัสดุเหลือบเงา เพิ่มลูกเล่น
Black Polo,Polo,Vintage,โปโลสีดำจากแบรนด์ไฮเอนด์ ผ้าฝ้าย Pima Cotton เกรดสูงสุด
Heritage Mesh,Polo,Legendary,โปโลผ้าตาข่ายรุ่นเก่า ระบายอากาศดีเยี่ยม สไตล์วินเทจสปอร์ต
Star-Dust Luxury,Polo,Rare,โปโลทอผสมดิ้นทองคำขาว ระยิบระยับอย่างมีระดับ
Galactic Emperor,Polo,Legendary,โปโลปักตราสัญลักษณ์ขนาดใหญ่ ดีไซน์เฉพาะกลุ่ม
Neon Stitch,Polo,Rare,เสื้อโปโลเดินตะเข็บโชว์ด้ายสีนีออน งานเย็บมือประณีต
Baby Girl Checkered,Shirt,Rare,เชิ้ตลายตารางเล็ก ทรงครอปเข้ารูป หายากในตลาด
Bandana Print Western,Shirt,Common,เชิ้ตลายเพสลีย์ (Bandana) ต่อลายเนียนกริบ กระดุมมุก
Beige Hidden-Button Linen,Shirt,Vintage,เชิ้ตลินินสีเบจ สาบเสื้อซ่อนกระดุม ดูสุภาพเรียบง่าย สไตล์ยุค 80
Butterfly Denim,Shirt,Vintage,เชิ้ตยีนส์บางปักลายผีเสื้อ งานปักมือยุค 70s
Checkered Flannel,Shirt,Common,เสื้อลายสก๊อตผ้าสำลีหนานุ่ม ดูเหมือนแบรนด์เก่าแก่
Crimson Rose Heritage,Shirt,Rare,เชิ้ตพิมพ์ลายดอกกุหลาบแดง ผ้าโพลีเอสเตอร์
Embroidered High-Denim,Shirt,Vintage,เชิ้ตยีนส์ฟอกสีสวย ปักลายที่ปกและข้อมืออย่างดี ของเก่าเก็บ
Embroidered Western,Shirt,Rare,เสื้อคาวบอยปักลายดอกไม้ที่บ่า สภาพสมบูรณ์
Library Archive,Shirt,Vintage,เชิ้ตลายตารางสมุดกราฟ ดีไซน์เนอร์แบรนด์ งานเก่าวินเทจแท้
Monochrome Baseball Jersey,Shirt,Rare,เสื้อเบสบอลผ้าวูลสีขาวดำ คัตติ้งแปลกตา
Ranch Hand Flannel,Shirt,Common,เสื้อลายสก๊อตผ้าหนาพิเศษ ทนทานต่องานหนัก
Suede Fringe,Shirt,Vintage,เสื้อเชิ้ตแต่งพู่หนังกลับ สไตล์คาวบอยแฟชั่น ผสมผสานความคลาสสิก
Vintage Cable Knit,Shirt,Common,เชิ้ตที่ทอแบบนิตติ้งลายเปีย ดูใส่ได้ทุกวัน
Wide-Lapel Corduroy Top,Shirt,Vintage,เสื้อเชิ้ตผ้าลูกฟูกปกใหญ่ สไตล์เรโทร เก่าเก็บ
Abstract Luxury Knit,Sweater,Vintage,สเวตเตอร์ไหมพรมลายกราฟิกนามธรรม งานศิลปะสวมใส่ได้
Burgundy Turtleneck,Sweater,Common,เสื้อคอเต่าสีแดงเลือดหมู เรียบง่าย อบอุ่น
Cream Off-Shoulder Knit,Sweater,Common,เสื้อไหมพรมถักสีครีม เปิดไหล่ให้ลุคสบายๆ
Duo-Tone Modern Knit,Sweater,Rare,เสื้อไหมพรมตัดต่อสองสี ดีไซน์โมเดิร์น
Holographic Rain Shell,Sweater,Legendary,เสื้อกันฝนทรงสวมหัว วัสดุโฮโลแกรมเล่นแสง
Navajo Pattern Knit,Sweater,Vintage,เสื้อไหมพรมถักลายพื้นเมืองชนเผ่านาวาโฮ
Neon Striped Knit,Sweater,Vintage,เสื้อไหมพรมลายขวางสีนีออน ยุค 80s
Psychedelic Swirl Knit,Sweater,Vintage,เสื้อไหมพรมลายก้นหอยวนสีสดใส ยุค 70s
Striped Bell-Sleeve Knit,Sweater,Rare,เสื้อไหมพรมลายขวาง แขนทรงกระดิ่งบานออก
Striped Emo,Sweater,Common,เสื้อลายขวางโทนสีดำ-เทา สไตล์อีโมยุค 2000
Butterfly Baby Tee,T-Shirt,Common,เสื้อยืดทรงเล็กพอดีตัว พิมพ์ลายผีเสื้อตรงกลาง
Circuit Compression Tee,T-Shirt,Rare,เสื้อยืดรัดรูป พิมพ์ลายแผงวงจรไฟฟ้า ลุค Techwear
Cutie Font Baby Tee,T-Shirt,Common,เสื้อยืดครอปทรงเล็ก สกรีนตัวอักษรฟอนต์น่ารัก
Flame Mesh Long-sleeve,T-Shirt,Vintage,เสื้อแขนยาวผ้าตาข่ายโปร่ง พิมพ์ลายเปลวไฟสไตล์ Y2K
Glitch Art Oversized Tee,T-Shirt,Common,เสื้อยืดทรงหลวม ลายกราฟิกแบบดิจิทัลเออเรอร์ (Glitch)
Heart-Cutout Baby Tee,T-Shirt,Common,เสื้อยืดตัวเล็ก เจาะช่องรูปหัวใจบริเวณหน้าอก
Peace Leopard Mesh Top,T-Shirt,Vintage,เสื้อตาข่ายลายเสือดาวผสมสัญลักษณ์สันติภาพ
Psychedelic Tie-Dye Tee,T-Shirt,Common,เสื้อยืดมัดย้อมสีสันฉูดฉาด ลายวนแบบไซคีเดลิค
Retro Ringer Graphic Tee,T-Shirt,Common,เสื้อยืดกุ๊นขอบแขนและคอสีตัดกัน สกรีนลายย้อนยุค
Scan-Me Oversized Tee,T-Shirt,Common,เสื้อยืดโอเวอร์ไซส์ สกรีนลาย QR Code หรือบาร์โค้ดขนาดใหญ่
Silk Touch Graphic Tee,T-Shirt,Rare,เสื้อยืดผิวสัมผัสนุ่มลื่นคล้ายผ้าไหม พิมพ์ลายกราฟิกคมชัด
Structured Boxy Tee,T-Shirt,Common,เสื้อยืดทรงกล่อง ไหล่ตก ผ้าหนาอยู่ทรง ไม่ย้วยง่าย
Vintage Muscle Car Tee,T-Shirt,Common,เสื้อยืดฟอกสี พิมพ์ลายรถอเมริกันมัสเซิลคาร์ยุคเก่า
Butterfly Chain Tube,Tops,Rare,เสื้อเกาะอกแต่งสายโซ่โลหะ ประดับจี้รูปผีเสื้อ
Camo Mesh,Tops,Rare,เสื้อผ้าตาข่ายซีทรู พิมพ์ลายพรางทหาร
Cropped Peasant,Tops,Common,เสื้อครอปแขนตุ๊กตา จั๊มเอวและอก สไตล์วินเทจ
Designer Logo,Tops,Rare,เสื้อพิมพ์ลายโมโนแกรมหรือโลโก้แบรนด์ดีไซเนอร์
Gradient Star,Tops,Common,เสื้อไล่เฉดสี พิมพ์ลายดาวกระจายทั่วตัว
Lace-Up Peasant,Tops,Rare,เสื้อสไตล์คอร์เซ็ต ร้อยเชือกด้านหน้า ปรับกระชับได้
Minimal Barcode,Tops,Common,เสื้อดีไซน์มินิมอล สกรีนลายบาร์โค้ดเล็กๆ ที่อก
Pink Angel Ribbed Tank,Tops,Common,เสื้อกล้ามผ้าร่องสีชมพูอ่อน สกรีนลาย Angel
Reflective Cyber,Tops,Rare,เสื้อตกแต่งแถบสะท้อนแสง เล่นไฟในที่มืด สไตล์ไซเบอร์
Rhinestone DREAM,Tops,Common,เสื้อตกแต่งเพชรเทียมเรียงเป็นคำว่า DREAM
Rhinestone Logo Tank,Tops,Common,เสื้อกล้ามประดับโลโก้ด้วยเพชรเทียมระยิบระยับ
Tie-Dye Chain Tube Top,Tops,Rare,เสื้อเกาะอกผ้ามัดย้อม สายคล้องเป็นโซ่โลหะ
Yin-Yang Flame Tank,Tops,Common,เสื้อกล้ามสกรีนลายหยินหยางผสมเปลวไฟสไตล์ Y2K
Classic Navy,Tracktop,Common,เสื้อแจ็คเก็ตวอร์มสีน้ำเงินเข้ม แถบขาวมาตรฐาน
Glossy Satin,Tracktop,Rare,เสื้อวอร์มผ้าซาติน ผิวสัมผัสเงางามดูหรูหรา
Gold-Zip Luxury Bomber,Tracktop,Rare,เสื้อบอมเบอร์แจ็คเก็ต แต่งซิปสีทอง
Metallic Silver Puffer,Tracktop,Legendary,เสื้อกันหนาวบุนวม สีเงินเมทัลลิคแวววาวโดดเด่น
Star Sport,Tracktop,Rare,เสื้อวอร์มตกแต่งลวดลายดาวขนาดใหญ่
Velvet Chain,Tracktop,Legendary,เสื้อวอร์มผ้ากำมะหยี่เกรดพรีเมียม ประดับสายโซ่ทอง
Sporty Windbreaker,Tracktop,Uncommon,เสื้อกันลมเนื้อผ้าบางเบา สไตล์สปอร์ต
Denim Patchwork,Vest,Vintage,เสื้อกั๊กยีนส์ตัดต่อผ้าหลายเฉดสี สไตล์งาน Craft
Double-Breasted Noble,Vest,Legendary,เสื้อกั๊กสูทกระดุมสองแถว คัตติ้งเนี้ยบหรูหรา
Fringed Denim,Vest,Vintage,เสื้อกั๊กยีนส์แต่งชายรุ่ยพู่ยาว สไตล์ร็อคยุค 70s
Gunslinger’s Suede,Vest,Rare,เสื้อกั๊กหนังกลับสีน้ำตาลธรรมชาติ สไตล์คาวบอย
Herringbone Tweed,Vest,Vintage,เสื้อกั๊กผ้าทวีตลายก้างปลา ให้ลุคคลาสสิกภูมิฐาน
Multi-Pocket Utility,Vest,Vintage,เสื้อกั๊กเดินป่ายุคเก่า ฟังก์ชันกระเป๋ารอบตัว
Neon-Line Tech,Vest,Rare,เสื้อกั๊กทรงล้ำสมัย ตกแต่งเส้นกุ๊นสีนีออนสะท้อนแสง
Premium Leather,Vest,Legendary,เสื้อกั๊กหนังแท้เกรดพรีเมียม ฟอกนิ่ม ทนทานพิเศษ
Urban Utility,Vest,Rare,เสื้อกั๊กสไตล์แทคติคอล ปรับดีไซน์ให้เข้ากับแฟชั่นสตรีท
Tempo Performance,Tracktop,Common,เสื้อวอร์มเนื้อผ้าเทคโนโลยีระบายเหงื่อ เน้นความคล่องตัว
Standard Issue Track Jacket,Tracktop,Common,เสื้อแจ็คเก็ตทรงมาตรฐาน ดีไซน์เรียบง่าย ใส่ได้ทุกโอกาส
Stealth Tech Bomber,Tracktop,Rare,เสื้อบอมเบอร์สีดำด้านสนิท ดีไซน์ซ่อนตะเข็บและช่องเก็บของ